Title,Score,Directors,Actors,url
画江湖之不良人,8.1,刘阔,边江 / 赵毅 / 阎萌萌,https://movie.douban.com/subject/25943173/
大男当婚,8.1,孙皓,徐峥 / 宋佳 / 梅婷 / 张歆艺 / 马苏,https://movie.douban.com/subject/6436752/
家宴,8.1,黄力加,王刚 / 颜丙燕 / 曾黎 / 戴娇倩 / 朱一龙,https://movie.douban.com/subject/20426982/
马向阳下乡记,8.1,张永新,吴秀波 / 王雅捷 / 李洪涛 / 梁爱琪 / 姜寒,https://movie.douban.com/subject/24839516/
麻辣隔壁·贰,8.1,杨羽 / 邢冬冬 / 王冬,杨羽 / 邢冬冬 / 邵庄 / 安宁 / 王思宇,https://movie.douban.com/subject/21350566/
赵氏孤儿案,8.1,阎建钢,吴秀波 / 孙淳 / 应采儿 / 王雨 / 练束梅,https://movie.douban.com/subject/10527293/
我是你的喋喋phone,8.1,车恩泽,李易峰,https://movie.douban.com/subject/26972683/
老爸快跑,8.1,高一功,徐峥 / 伊春德 / 王虎城,https://movie.douban.com/subject/4728512/
热血青春,8.1,黄克敏,张一山 / 蓝盈莹 / 张潇恒 / 王莎莎 / 吴京安,https://movie.douban.com/subject/25953526/
草帽警察,8.1,杨亚洲,李晨 / 霍思燕 / 于越 / 乔红 / 杜江,https://movie.douban.com/subject/21327728/
爱情公寓2,8.0,韦正,娄艺潇 / 王传君 / 赵文琪 / 孙艺洲 / 邓家佳,https://movie.douban.com/subject/4707205/
面具,8.0,楼健,祖锋 / 梅婷 / 侯勇 / 于明加 / 杜志国,https://movie.douban.com/subject/27043642/
相爱十年,8.0,刘惠宁,邓超 / 董洁 / 高虎 / 王大治 / 肖雨雨,https://movie.douban.com/subject/10514844/
温州一家人,8.0,孔笙,李立群 / 迟蓬 / 张译 / 殷桃 / 朱宏嘉,https://movie.douban.com/subject/20374428/
湄公河大案,8.0,安战军,陈宝国 / 杜志国 / 王千源 / 于越 / 李修贤,https://movie.douban.com/subject/25802736/
刑警队长,8.0,张睿 / 来赫,于和伟 / 祖锋 / 叶一云 / 张念骅 / 张宁江,https://movie.douban.com/subject/25917744/
小戏骨：水浒传,8.0,潘礼平 / 高翔,陈荣达 / 葛奕德 / 万君逸 / 郭飞歌 / 李俊豪,https://movie.douban.com/subject/26953998/
传奇之王,8.0,柳云龙,曾黎 / 柳云龙 / 雷佳音 / 万茜 / 王雅捷,https://movie.douban.com/subject/5450899/
远去的飞鹰,8.0,花箐,朱亚文 / 姚笛 / 刘劲 / 贾延鹏 / 罗晋,https://movie.douban.com/subject/5361537/
大学生士兵的故事2,8.0,尚敬,徐海乔 / 顾宇峰 / 金为珩 / 谭涛 / 林永健,https://movie.douban.com/subject/11632444/
